file,valid,rows,local_score,score_source,spearman_to_anchor,max_spearman_to_failed,mean_spearman_to_failed,rank_delta_to_anchor,local_bonus,geometry_score,spearman_to_sub_calibrated_tail_cli_,spearman_to_sub_anchor_blend_utility
sub_ensemble_ranknorm_v005_v010_v012_v015_v017_v018_v019_v020_v021_v022_v023_v024_v025_v026.csv,True,538150,0.14974595251568731,oof_pearson,1.0,0.9957830413899098,0.9520082190520618,0.0,0.8915317505229106,0.7402074147048137,0.9082333967142137,0.9957830413899098
sub_ensemble_ranknorm_v005_v010_v012_v015_v017_v018_v019_v020_v021_v022.csv,True,538150,0.14973431190475617,oof_pearson,0.9999271669785901,0.9958609380072142,0.952823641695664,0.002382314972020249,0.891143730158539,0.7397553747575424,0.9097863453841138,0.9958609380072142
sub_anchor_blend_risk_scan.csv,True,538150,0.12969119660556316,scores.composite,0.9935997895659625,0.9997720786518929,0.9696361034589578,0.024382762304804566,0.22303988685210552,0.6655034494594979,0.9395001282660227,0.9997720786518929
sub_anchor_blend_conservative.csv,True,538150,0.12954449281096458,scores.composite,0.9941914192341156,0.9998722901983718,0.9690748359643702,0.023246604662590528,0.21814976036548622,0.6654556224046249,0.9382773817303686,0.9998722901983718
sub_anchor_blend_utility_scan.csv,True,538150,0.12908001355826854,scores.utility,0.9957830413899097,1.0,0.967242198959031,0.019854337654882825,0.20266711860895126,0.6651800819076176,0.9344843979180618,1.0
sub_anchor_blend_safe.csv,True,538150,0.12990986779332162,scores.composite,0.9915148731847397,0.998282500046997,0.9732228456788697,0.028319964637402467,0.2303289264440539,0.6649717095294156,0.9481631913107424,0.998282500046997
sub_anchor_blend_micro_scan.csv,True,538150,0.12804221734404564,scores.utility,0.9981701704079322,0.9995076221684566,0.9629378691030424,0.013142334601832256,0.16807391146818804,0.664044220618396,0.926368116037628,0.9995076221684566
sub_anchor_blend_v033.csv,True,538150,0.12846580110490324,scores.composite,0.9955271753777468,0.9998553132252553,0.9674074389576341,0.0205157538201827,0.1821933701634415,0.6629417333258764,0.9349595646900128,0.9998553132252553
sub_anchor_blend_low_failed_scan.csv,True,538150,0.1279003031551838,scores.utility,0.9972670629973209,0.9991620071847209,0.9614294136365429,0.015700507113260282,0.16334343850612684,0.6628222974861039,0.923696820088365,0.9991620071847209
sub_anti_failed_rank_beta040.csv,True,538150,,,0.999863035104943,0.9944491767160017,0.94784211062141,0.003576139479915988,0.0,0.6507828024514837,0.9012350445268182,0.9944491767160017
sub_anti_failed_rank_beta060.csv,True,538150,,,0.9996930465051331,0.9936847183868568,0.9456746557179521,0.00536013627645387,0.0,0.6506213232143843,0.8976645930490473,0.9936847183868568
sub_anti_failed_rank_beta080.csv,True,538150,,,0.9994564732942542,0.9928563581676081,0.9434521339090391,0.007141382337203994,0.0,0.6504429397546445,0.8940479096504702,0.9928563581676081
sub_anti_failed_rank_beta100.csv,True,538150,,,0.9991541430662162,0.9919649639586198,0.9411754684752678,0.008919724805912431,0.0,0.6502478718225664,0.8903859729919157,0.9919649639586198
sub_anti_failed_rank_beta120.csv,True,538150,,,0.9987868498582094,0.9910113794276563,0.9388453622847555,0.010695314360006503,0.0,0.6500362829181896,0.8866793451418548,0.9910113794276563
sub_anti_failed_rank_beta150.csv,True,538150,,,0.9981160884926988,0.9894666675129482,0.93525288530835,0.013353568433270617,0.0,0.6496883421031219,0.8810391031037519,0.9894666675129482
sub_anti_failed_rank_beta020.csv,True,538150,,,0.9966878690048221,0.9865989500804131,0.9290224490029644,0.017765465292694925,0.0,0.6490293771884035,0.8714459479255156,0.9865989500804131
sub_calibrated_stable_020_017_023_010.csv,True,538150,,,0.9849837980169891,0.9892719681018718,0.9607679638093076,0.03490668413157906,0.0,0.6399379043632898,0.9322639595167433,0.9892719681018718
sub_calibrated_ensemble_conservative_v017_v020_v023_v028_v029_v030_v010.csv,True,538150,0.12106876673323738,scores.composite,0.9726273406349668,0.9782761036534252,0.9625985753854335,0.04800521542720768,0.0,0.634543862090046,0.9469210471174417,0.9782761036534252
sub_calibrated_stable_020_017_023.csv,True,538150,,,0.9719116517120567,0.978893418556537,0.9406449767778184,0.04988272235821137,0.0,0.6337500628631624,0.9023965349991,0.978893418556537
sub_calibrated_v020_single.csv,True,538150,,,0.9301801726218488,0.9191586983424638,0.8747508331624705,0.07700386470491588,0.0,0.6237498320195711,0.8303429679824773,0.9191586983424638
sub_calibrated_mix_firstlb_kfold_100.csv,True,538150,0.12244861144913183,scores.composite,0.9541076059906574,0.9856216321988623,0.978470136138669,0.0628896341745811,0.0,0.6212149498194259,0.9856216321988623,0.9713186400784755
sub_calibrated_ensemble_conservative_kfold_v017_v023_v028_v029_v031_v032_v010.csv,True,538150,0.12244861144913183,scores.composite,0.9541076059906574,0.9856216321988623,0.978470136138669,0.0628896341745811,0.0,0.6212149498194259,0.9856216321988623,0.9713186400784755
sub_calibrated_manual_tail10_boost.csv,True,538150,0.12302051640220087,scores.composite,0.9317545116849429,0.9939224868779937,0.9739403050664603,0.0768767288222996,0.0006838800733622679,0.6059335128069643,0.9939224868779937,0.9539581232549269
sub_calibrated_tail10_fast_tuned.csv,True,538150,0.1232943106699094,scores.composite,0.9139479316551513,0.9991782174487263,0.9694409391583858,0.08673824403270626,0.009810355663646594,0.5951497104268528,0.9991782174487263,0.9397036608680454
sub_calibrated_tail10_expanded_tuned.csv,True,538150,0.12334670856067842,scores.composite,0.9108024417101684,0.9997585789465544,0.968542749160866,0.08820512499899755,0.01155695202261405,0.5933865025708575,0.9997585789465544,0.9373269193751775
sub_calibrated_tail_cli_full.csv,True,538150,0.12336291372776031,scores.composite,0.9082333967142137,1.0,0.9672421989590309,0.08954293379986696,0.012097124258677225,0.5918949707129946,1.0,0.9344843979180617
sub_calibrated_tail10_batch_tuned.csv,True,538150,0.12336289882659912,scores.composite,0.9082333967142137,1.0,0.9672421989590309,0.08954293379986696,0.012096627553304096,0.5918949210424572,1.0,0.9344843979180617
sub_calibrated_tail10_refined_tuned.csv,True,538150,0.12336137908771078,scores.composite,0.9074691655436957,0.9999764242635703,0.9670368076150924,0.08991644274202083,0.01204596959035927,0.5914576072536881,0.9999764242635703,0.9340971909666146
sub_calibrated_tail_cli_smoke.csv,True,538150,0.12336228787899017,scores.composite,0.9064168193653036,0.999977773330001,0.9663893236009526,0.09048578771345346,0.012076262633005838,0.5908487244564341,0.999977773330001,0.9328008738719041
sub_calibrated_v017_single.csv,True,538150,,,0.8527637305886144,0.9033091111812835,0.897604161622015,0.11267376396931933,0.0,0.5836535229035884,0.9033091111812835,0.8918992120627465
