kfold_weight,full,tail50,tail30,tail20,tail10,ts_fold1,ts_fold2,ts_fold3,ts_fold4,ts_fold5,composite
1.0,0.14159927746011874,0.1366947831435213,0.1431027938376433,0.12097374924998319,0.1155589021151013,0.210649870442648,0.09269986643946676,0.13765289196712616,0.16482736746137905,0.11726937308096032,0.12244861144913183
0.9750000000000001,0.14193816172090828,0.13671989982056254,0.14292945061534992,0.12079970004372118,0.11547078725239292,0.210978904440488,0.09340486877751847,0.13805359183971364,0.16466222493380647,0.1171335755275501,0.12241202060066667
0.9500000000000001,0.14226365221631515,0.13673715221749771,0.14275014050935808,0.12062158572987378,0.11537721058077521,0.2112662345122044,0.09409989844643407,0.13844256161235025,0.16448780863949386,0.1169935738396386,0.12236910107830509
0.925,0.14257559174618414,0.1367465143410258,0.1425648870616594,0.12043940819927083,0.11527812544981443,0.21151197467404842,0.0947845882564913,0.138819574010105,0.16430418984708256,0.11684935503462468,0.12231980561366325
0.9,0.14287383447055546,0.13674796423542576,0.14237371604045734,0.12025317051639715,0.11517348692672386,0.2117163103288332,0.09545858009872313,0.1391844099040793,0.16411144425920182,0.11670090731815283,0.12226409029042498
0.875,0.14315824620106815,0.1367414840190668,0.14217665542243324,0.12006287692496248,0.11506325186084793,0.2118794967879949,0.09612152578730127,0.1395368587588952,0.16390965191150159,0.11654822010302882,0.1222019146264782
0.8500000000000001,0.14342870466532015,0.1367270599151588,0.1419737353727257,0.1198685328525609,0.1149473789473079,0.21200185748054468,0.09677308788001619,0.1398767190660909,0.1636988970663197,0.11639128402731941,0.12213324164996497
0.8250000000000001,0.14368509974305743,0.13670468227665059,0.14176498822265554,0.11967014491440704,0.11482582878967706,0.21208378186755233,0.09741294047262415,0.14020379876163855,0.1634792681012631,0.11623009097160171,0.12205803796897276
0.8,0.14392733367318955,0.13667434560520036,0.14155044844523418,0.1194677209161375,0.11469856396155358,0.2121257230831077,0.09804076996293312,0.14051791562584284,0.16325085739299278,0.11606463407532921,0.12197627383461904
0.775,0.14415532123076957,0.136636048564157,0.14133015262849657,0.1192612698556681,0.11456554906689587,0.21212819532469412,0.09865627578063794,0.14081889766393094,0.163013761196511,0.11589490775228144,0.12188792319731001
0.75,0.14436898987321506,0.1365897939855104,0.14110413944670636,0.11905080192409825,0.11442675079898737,0.21209177101755172,0.09925917107909,0.1411065834657077,0.1627680795202588,0.11572090770506765,0.12179296375598317
0.7250000000000001,0.14456827985519655,0.13653558887078474,0.14087244962948134,0.11883632850565579,0.11428213799789572,0.21201707777889803,0.09984918338539521,0.14138082254272819,0.1625139159973386,0.11554263093865227,0.1216913770001727
0.7000000000000001,0.1447531443117697,0.13647344438586506,0.14063512592889563,0.11861786217667634,0.11413168170629243,0.21190479520880845,0.10042605520547837,0.14164147564152527,0.1622513777531819,0.1153600757728754,0.12158314824476871
0.675,0.1449235493094852,0.13640337584976772,0.14039221308461527,0.11839541670361368,0.11397535522350058,0.21175565153512943,0.10098954458102291,0.14188841503152808,0.16198057526998536,0.11517324185394003,0.12146826665737394
0.65,0.14507947386535996,0.13632540271737834,0.14014375778712984,0.11816900704007816,0.11381313415763747,0.21157042014002625,0.1015394255954984,0.1421215247664162,0.16170162224824575,0.11498213016484,0.121346725278191
0.625,0.14522090993375775,0.13623954855620207,0.13988980863914544,0.11793864932290318,0.11364499647572371,0.2113499159956557,0.10207548882681303,0.1423407009177688,0.1614146354657213,0.11478674303470454,0.12121852103240968
0.6000000000000001,0.14534786236137426,0.13614584101718527,0.13963041611520705,0.11770436086723876,0.11347092255162902,0.2110949920360305,0.10259754174447663,0.14254585177999649,0.1611197346341506,0.11458708414703656,0.12108365473509264
0.5750000000000001,0.14546034881068118,0.13604431179968526,0.13936563251962214,0.1174661601606761,0.11329089521173097,0.21080653549142422,0.1031054090495251,0.14273689804567471,0.1608170422540594,0.11438315854682297,0.12094213108859225
0.55,0.14555839965232972,0.13593499661068228,0.13909551194276087,0.11722406685640566,0.11310489977816318,0.21048546421068723,0.10359893295583629,0.14291377295053775,0.16050668346798283,0.1141749726464986,0.12079395867256239
0.525,0.14564205782716066,0.13581793511834078,0.13882011021580873,0.11697810176541469,0.11291292410953534,0.21013272299563018,0.10407797341185655,0.14307642238753693,0.16018878591242888,0.11396253423074455,0.12063914992665951
0.5,0.14571137867860645,0.13569317090004676,0.1385394848640521,0.1167282868477301,0.11271495863900956,0.20974927997021736,0.10454240826215147,0.14322480498951712,0.159863479568905,0.11374585246010688,0.12047772112605712
0.47500000000000003,0.14576642975640564,0.13556075138505858,0.13825369505877824,0.11647464520271673,0.11251099640962353,0.20933612300573134,0.10499213334858935,0.14335889218021575,0.1595308966143234,0.1135249378734201,0.12030969234992739
0.45,0.14580729059267133,0.13542072779192582,0.1379628015678733,0.11621720105843897,0.11230103310675492,0.20889425622135976,0.10542706255135846,0.1434786681934455,0.15919117127109694,0.11329980238902504,0.12013508744306955
0.42500000000000004,0.14583405245147704,0.13527315506084364,0.13766686670520384,0.11595597976009821,0.11208506708762704,0.20842469657783552,0.10584712777040509,0.14358413006047463,0.15884443965722841,0.11307045930476946,0.11995393397089113
0.4,0.14584681805322516,0.1351180917811218,0.13736595427886833,0.1156910077575591,0.11186309940776253,0.20792847057988953,0.10625227884825118,0.14367528756577413,0.15849083963668997,0.11283692329678519,0.1197662631679723
0.375,0.1458457012751653,0.13495560011396093,0.13706012953840754,0.11542231259197822,0.11163513384429558,0.20740661110135353,0.10664248343551133,0.14375216317145337,0.15813051067037961,0.11259921041703497,0.11957210988046484
0.35000000000000003,0.14583082682951365,0.13478574571073962,0.13674945912106107,0.11514992288155135,0.11140117691606329,0.20686015434483138,0.1070177268007681,0.14381479191085517,0.1577635936679337,0.11235733808962524,0.11937151250259766
0.325,0.14580232992070233,0.13460859762702526,0.136434010997162,0.11487386830639665,0.11116123790040036,0.20629013694595272,0.10737801158678313,0.14386322125192613,0.15739023084066356,0.11211132510588405,0.11916451290757929
0.30000000000000004,0.14576035588335157,0.13442422823253197,0.13611385441475768,0.11459417959259172,0.11091532884657078,0.20569759323036158,0.10772335751531724,0.14389751093111935,0.15701056555587242,0.11186119161820395,0.11895115637320273
0.275,0.14570505980261164,0.1342327131172575,0.13578905984354792,0.11431088849538498,0.11066346458577711,0.2050835526297976,0.10805380104309856,0.14391773275871683,0.1566247421928029,0.11160695913265277,0.11873149150247209
0.25,0.14563660611856308,0.13403413099403688,0.13545969891823134,0.11402402778160187,0.11040566273769534,0.20444903726191122,0.10836939497171885,0.14392397039659077,0.15623290600044556,0.1113486505003576,0.11850557013958198
0.225,0.14555516821639455,0.13382856359775952,0.13512584438134898,0.11373363121126862,0.11014194371349281,0.20379505967683284,0.10867020801444426,0.14391631910953362,0.1558352029574343,0.11108628990766853,0.11827344728158982
0.2,0.1454609280040964,0.1336160955815001,0.13478757002571573,0.11343973351847689,0.10987233071529366,0.20312262077200738,0.1089563243231072,0.1438948854914025,0.1554317796342399,0.11081990286511138,0.11803518098612706
0.17500000000000002,0.14535407547941762,0.13339681440981835,0.13444495063652756,0.11314237039151405,0.10959684973206585,0.2024327078754052,0.10922784297838924,0.14385978716741799,0.15502278305785658,0.11054951619514158,0.11779083227550236
0.15000000000000002,0.14523480828782878,0.13317081024948738,0.13409806193323362,0.11284157845228435,0.10931552953191234,0.20172629299594963,0.10948487744691937,0.14381115247404933,0.15460836057916996,0.11027515801871146,0.11754046503754972
0.125,0.14510333127322345,0.13293817585791148,0.13374698051125902,0.1125373952350484,0.10902840165075764,0.20100433123885164,0.10972755500869368,0.1437491201179933,0.15418865974317728,0.10999685774066761,0.11728414592357746
0.1,0.14495985602306588,0.13269900646949626,0.1333917837836651,0.11222985916450784,0.10873550037743081,0.2002677593825222,0.1099560161583722,0.14367383881582454,0.1537638281622185,0.10971464603399558,0.1170219442437709
0.07500000000000001,0.1448046004096612,0.1324533996802345,0.13303254992282978,0.11191900953326439,0.10843686273515378,0.19951749461283733,0.1101704139840292,0.14358546691594837,0.15333401339236652,0.10942855482293135,0.11675393186039953
0.05,0.1446377881291851,0.1322014553307717,0.13266935780223185,0.11160488647868198,0.10813252845945437,0.19875443340975787,0.11037091352692331,0.14348417200453148,0.15289936281310643,0.10913861726496188,0.11648018307917365
0.025,0.14445964824005936,0.13194327538821105,0.13230228693841906,0.11128753095918259,0.10782253997253144,0.1979794505806602,0.11055769112581768,0.14337013049712122,0.1524600235104272,0.10884486773173736,0.11620077453908932
0.0,0.14427041470220528,0.13167896382691924,0.13193141743323805,0.11096698473000666,0.10750694235410937,0.1971933984341899,0.1107309337493178,0.14324352721768313,0.15201614216343032,0.10854734178892218,0.1159157851010925
