pool,split,versions,train_corr,eval_corr,full_common_corr,spearman_to_anchor,rank_delta_to_anchor,max_failed,weights,spearman_to_sub_calibrated_tail_cli_full,spearman_to_sub_anchor_blend_utility_sca,spearman_to_sub_anti_failed_rank_w020_04
tail_special,tail5,v017+v021+v023+v029+v030+v034+v031+v032,0.14746579126288445,0.16672173897685255,0.14766430605448033,0.9748130419341898,0.04801818142061895,0.9753121307396486,"{""v017"": 0.21711901055684973, ""v023"": 0.3298008463151502, ""v029"": 0.373085312585816, ""v034"": 0.07999483054218418}",0.8887057331936972,0.9753121307396486,0.9745061156409045
ridge_top_plus_anchor,tail5,v023+v018+v026+v021+v024+v029+v017+v025+v030+v034+v010+v019,0.14852982000324122,0.16355320151272934,0.1488578960807697,0.9895372146107864,0.029514945915765783,0.9890339154337033,"{""v010"": 0.10980192239722851, ""v017"": 0.19190651805874803, ""v018"": 0.10961979407126757, ""v023"": 0.19241700522757135, ""v029"": 0.2895179169129294, ""v034"": 0.10673684333225524}",0.9148661708508599,0.9890339154337033,0.9890082307589415
ridge_top10,tail5,v023+v018+v026+v021+v024+v029+v017+v025+v030+v034,0.1475641716564155,0.16303426532002838,0.14758657978412695,0.9759433306835757,0.04697763895632859,0.9765387901830892,"{""v017"": 0.21304263393024703, ""v018"": 0.1542051186383856, ""v023"": 0.16779451521903258, ""v029"": 0.35725609054183954, ""v034"": 0.10770164167049504}",0.8901799914788168,0.9765387901830892,0.9756225903147004
lb_core_plus_safe,tail5,v010+v017+v019+v021+v023+v016+v031+v032,0.14620570205004305,0.1491589694007873,0.14673429754477743,0.9927034915736987,0.024489191572371196,0.9932880641486591,"{""v010"": 0.14967634000943666, ""v017"": 0.25047449706406605, ""v019"": 0.191189153340106, ""v021"": 0.03615357987459419, ""v023"": 0.37250642971179715}",0.9131617254572119,0.9932880641486591,0.9922203105202598
lb_core,tail5,v010+v017+v019+v021+v023,0.14620570205004305,0.14915896940078727,0.14673429754477743,0.9927034915736987,0.024489191572371196,0.9932880641486591,"{""v010"": 0.14967634000943666, ""v017"": 0.25047449706406605, ""v019"": 0.191189153340106, ""v021"": 0.03615357987459419, ""v023"": 0.37250642971179715}",0.9131617254572119,0.9932880641486591,0.9922203105202598
tail_special,tail10,v017+v021+v023+v029+v030+v034+v031+v032,0.1488113611131584,0.1131075370210692,0.14762430539116192,0.9733591268685653,0.04944275408379137,0.974237393499169,"{""v017"": 0.2482250846051716, ""v023"": 0.36171695316746266, ""v029"": 0.36230793391507665, ""v034"": 0.027750028312289104}",0.8848500030832976,0.974237393499169,0.9730886611894123
ridge_top_plus_anchor,tail10,v023+v018+v026+v021+v024+v029+v017+v025+v030+v034+v010+v019,0.14999331216211892,0.11196808332578247,0.1487317169733983,0.9891959450205439,0.030172421678326827,0.9891232611769859,"{""v010"": 0.10875902123109049, ""v017"": 0.2185365266053053, ""v018"": 0.17812860060764957, ""v023"": 0.1294337795946731, ""v025"": 0.05951866535198558, ""v029"": 0.27699691754564787, ""v034"": 0.028626489063648106}",0.9120060868667236,0.9891232611769859,0.9887009394140659
lb_core,tail20,v010+v017+v019+v021+v023,0.16085869651203302,0.11190235482061342,0.14666421699123308,0.9936064424756583,0.02288624876145059,0.9932159872677928,"{""v010"": 0.16663085790234167, ""v017"": 0.2253427117509048, ""v019"": 0.21063389653753797, ""v021"": 0.029095241773355145, ""v023"": 0.3682972920358604}",0.9125554276328762,0.9925322300701382,0.9932159872677928
lb_core_plus_safe,tail20,v010+v017+v019+v021+v023+v016+v031+v032,0.16085869651203302,0.11190235482061342,0.14666421699123308,0.9936064424756583,0.02288624876145059,0.9932159872677928,"{""v010"": 0.16663085790234167, ""v017"": 0.2253427117509048, ""v019"": 0.21063389653753797, ""v021"": 0.029095241773355145, ""v023"": 0.3682972920358604}",0.9125554276328762,0.9925322300701382,0.9932159872677928
ridge_top_plus_anchor,tail20,v023+v018+v026+v021+v024+v029+v017+v025+v030+v034+v010+v019,0.16416906774549372,0.110816835566116,0.1487074511755274,0.990161727651493,0.028483527859358367,0.9896668864963674,"{""v010"": 0.12141485866793032, ""v017"": 0.1655863494969308, ""v018"": 0.1975884136974504, ""v023"": 0.08961561017790162, ""v025"": 0.008120348050684283, ""v029"": 0.2844918936076816, ""v034"": 0.13318252630142108}",0.9155850306035795,0.9887091918149454,0.9896668864963674
tail_special,tail20,v017+v021+v023+v029+v030+v034+v031+v032,0.16236268419060998,0.11064401234421492,0.14762240470040972,0.9748296675943426,0.04786111026633142,0.9746269345420492,"{""v017"": 0.18707731855261567, ""v023"": 0.3288766426412276, ""v029"": 0.38575400593592557, ""v034"": 0.09829203287023126}",0.8859469906568356,0.9740997757214594,0.9746269345420492
ridge_top10,tail10,v023+v018+v026+v021+v024+v029+v017+v025+v030+v034,0.14902973595080737,0.11036089889431928,0.1474453178955162,0.9749216758745103,0.048014189223269804,0.9759292734201862,"{""v017"": 0.24281327974304026, ""v018"": 0.22568694450345575, ""v023"": 0.1268321849116962, ""v029"": 0.33802232839088026, ""v034"": 0.06664526245092757}",0.8866551443145317,0.9759292734201862,0.974636944417002
ridge_top10,tail20,v023+v018+v026+v021+v024+v029+v017+v025+v030+v034,0.16271835067423837,0.10919565036297574,0.14740907801577585,0.9761906211005997,0.04664950680610961,0.9759553506115695,"{""v017"": 0.18514907586736892, ""v018"": 0.2568049804609094, ""v023"": 0.06169897674322406, ""v029"": 0.3558693956069786, ""v034"": 0.14047757132151908}",0.8880902502295832,0.9757917045935248,0.9759553506115695
lb_core,tail10,v010+v017+v019+v021+v023,0.1476625790079341,0.10868793652437284,0.14666016275540297,0.9911746202183754,0.02683223221070731,0.9929629369046599,"{""v010"": 0.14817007132443807, ""v017"": 0.27194523817575195, ""v019"": 0.18686811407250864, ""v023"": 0.39301657642730126}",0.9156755949520721,0.9929629369046599,0.9905669763223562
lb_core_plus_safe,tail10,v010+v017+v019+v021+v023+v016+v031+v032,0.1476625790079341,0.10868793652437282,0.14666016275540295,0.9911746202183754,0.02683223221070731,0.9929629369046599,"{""v010"": 0.14817007132443807, ""v017"": 0.27194523817575195, ""v019"": 0.18686811407250864, ""v023"": 0.39301657642730126}",0.9156755949520721,0.9929629369046599,0.9905669763223562
